	input	filtered	denoised	merged	non-chimeric
ITSCP-ITS_CATCCT-JG62T_L001_R1.fastq.gz	202545	198211	197947	172470	92553
ITSM1_ACCCCC-JRDRM_L001_R1.fastq.gz	27920	12112	12099	10906	4166
ITSM1-1_ATTACA-JRDRM_L001_R1.fastq.gz	15259	7034	7022	6297	2292
ITSM2_ACCAGG-JRDRM_L001_R1.fastq.gz	13079	6062	6056	5216	2054
ITSM2-1_AACCGA-JRDRM_L001_R1.fastq.gz	17107	8017	8017	6946	2491
ITSM3_GGATCA-JRDRM_L001_R1.fastq.gz	45115	21014	20941	18929	8809
ITSM3-1_TCTATG-JRDRM_L001_R1.fastq.gz	12418	5471	5469	4999	2395
ITSM4_AAAGCG-JRDRM_L001_R1.fastq.gz	42451	19746	19733	16474	7846
ITSM4-1_GCATAC-JRDRM_L001_R1.fastq.gz	12476	5052	5047	4216	2059
ITSM5_AGGCGC-JRDRM_L001_R1.fastq.gz	13837	6069	6064	4455	3134
ITSM5-1_GTAGAA-JRDRM_L001_R1.fastq.gz	14389	6742	6738	5036	3583
ITSMeq-ITS_GGACTT-JG62T_L001_R1.fastq.gz	188898	185180	184378	166878	87241
ITSMS10-ITS_GGCCAA-JG62T_L001_R1.fastq.gz	186409	182229	181443	170729	88931
